name,size,modified
A323.tif,35380.8 kb,"Fri, 11 Mar 2011 16:17:57 GMT"
A342.tif,25035.2 kb,"Fri, 11 Mar 2011 16:20:41 GMT"
A356.tif,94648.1 kb,"Sat, 04 Sep 2010 15:15:59 GMT"
A354.tif,86053.9 kb,"Sat, 04 Sep 2010 15:20:13 GMT"
A184.tif,100273.7 kb,"Fri, 03 Sep 2010 19:48:35 GMT"
A177.tif,94348.2 kb,"Fri, 03 Sep 2010 19:57:47 GMT"
A181.tif,82143.5 kb,"Fri, 03 Sep 2010 19:53:02 GMT"
A26.tif,93656.0 kb,"Fri, 03 Sep 2010 13:40:00 GMT"
A46.tif,91134.3 kb,"Fri, 03 Sep 2010 17:30:09 GMT"
BF14.tif,191702.2 kb,"Mon, 26 Nov 2007 21:09:12 GMT"
BF40.tif,185561.0 kb,"Tue, 27 Nov 2007 19:46:42 GMT"
01.18.30.tif,109853.5 kb,"Tue, 04 Jan 2011 20:17:35 GMT"
BF259.tif,97959.8 kb,"Thu, 25 Sep 2008 15:02:46 GMT"
A248.tif,101243.2 kb,"Tue, 07 Dec 2010 20:22:42 GMT"
BF1192.tif,226029.5 kb,"Mon, 25 Jun 2007 20:48:44 GMT"
BF771.tif,60740.6 kb,"Tue, 26 Oct 2010 14:14:38 GMT"
BF1190.tif,209294.3 kb,"Tue, 05 Jun 2007 18:31:12 GMT"
BF1056a.tif,121696.6 kb,"Wed, 03 Dec 2008 16:14:34 GMT"
01.18.58ab.tif,33484.2 kb,"Tue, 26 Jan 2010 14:14:17 GMT"
BF256.tif,190194.7 kb,"Tue, 29 May 2007 19:12:26 GMT"
01.05.55.tif,82347.9 kb,"Wed, 12 Jan 2011 20:54:00 GMT"
01.18.02.tif,49114.6 kb,"Thu, 29 Sep 2011 00:58:57 GMT"
01.08.76.tif,74980.6 kb,"Wed, 10 Nov 2010 14:52:46 GMT"
01.18.101.tif,29092.6 kb,"Thu, 29 Sep 2011 01:28:21 GMT"
01.18.112.tif,27518.4 kb,"Thu, 29 Sep 2011 01:31:20 GMT"
01.07.31.tif,104528.3 kb,"Tue, 11 Jan 2011 21:12:16 GMT"
01.07.41.tif,105033.4 kb,"Tue, 11 Jan 2011 21:30:38 GMT"
01.01.12.tif,56079.7 kb,"Wed, 29 Sep 2010 13:05:25 GMT"
01.23.24.tif,96922.5 kb,"Sun, 29 Aug 2010 14:53:42 GMT"
01.23.35.tif,89717.2 kb,"Sun, 29 Aug 2010 13:15:24 GMT"
